student_id,age,gender,school_type,parent_education,internet_access,tutoring,study_hours_per_day,attendance_percent,sleep_hours,assignments_completed_out_of_10,previous_term_score,exam_score,pass_fail,grade_band
S00001,21.0,Female,Public,Secondary,Yes,Yes,3.8,40.0,7.6,1,46.0,65,True,B
S00002,17.0,Male,Public,Secondary,Yes,Yes,3.0,37.8,7.6,7,39.0,53,True,C
S00003,23.0,Male,Private,Diploma,Yes,Yes,4.3,64.7,7.0,2,77.0,71,True,A
S00004,25.0,Female,Public,Diploma,Yes,No,2.5,82.3,5.7,6,44.0,71,True,A
S00005,18.0,Male,Private,Diploma,No,Yes,5.8,41.7,6.1,0,67.0,63,True,B
S00006,20.0,Female,Private,MSc/PhD,Yes,No,3.8,38.2,4.0,8,67.0,61,True,B
S00007,19.0,Male,Public,Diploma,Yes,No,5.8,84.8,6.0,8,75.0,89,True,A+
S00008,24.0,Male,Public,Primary,Yes,No,5.5,63.1,8.7,1,76.0,79,True,A
S00009,19.0,Female,Private,Primary,Yes,Yes,2.9,86.1,4.3,6,53.0,91,True,A+
S00010,22.0,Male,Private,Diploma,Yes,No,5.6,58.7,6.1,3,59.0,74,True,A
S00011,17.0,Male,Public,BSc,Yes,No,4.6,82.8,6.5,5,79.0,77,True,A
S00012,22.0,Female,Public,Primary,Yes,No,0.7,44.4,6.3,6,20.0,21,False,F
S00013,24.0,Male,Public,None,No,No,3.5,41.7,6.7,9,59.0,58,True,C
S00014,17.0,Male,Private,None,Yes,No,2.2,70.8,7.7,4,60.0,68,True,B
S00015,20.0,Male,Public,Secondary,No,No,3.2,64.2,8.0,2,66.0,45,False,D
S00016,21.0,Male,Public,Diploma,Yes,Yes,2.8,46.2,6.7,6,40.0,39,False,F
S00017,18.0,Male,Public,Primary,Yes,No,3.9,73.2,5.5,8,56.0,72,True,A
S00018,16.0,Female,Private,BSc, Yes ,Yes,2.8,52.9,6.3,7,41.0,70,True,A
S00019,23.0,Male,Private,Primary,Yes,Yes,1.0,48.2,7.7,0,28.0,45,False,D
S00020,19.0,Female,Public,Primary,Yes,Yes,5.1,63.2,6.5,5,69.0,95,True,A+
